"id","TypeCode","Type","Name","WardCode","Ward","createdBy","createdDate","lastModifiedBy","lastModifiedDate"
"654a9d5f-ec28-494b-9d3b-b15c12f6da2e","1","Town Panchayat","Harveypatti (TP)","20CT0303W","Harveypatti (TP) WARD NO.-0003","System","2022-10-15 10:04:26.499928+00","","2022-10-15 10:04:26.499928+00"
"674abf33-4a79-4f65-929b-64e634b271a4","1","Town Panchayat","Alanganallur (TP)","20TP0207W","Alanganallur (TP) WARD NO.-0007","System","2022-10-15 10:04:26.498924+00","","2022-10-15 10:04:26.498924+00"
"674e98a7-b511-4b0b-ba69-2ae86a7bdfd6","1","Town Panchayat","Harveypatti (TP)","20CT0307W","Harveypatti (TP) WARD NO.-0007","System","2022-10-15 10:04:26.499928+00","","2022-10-15 10:04:26.499928+00"
"67eea52d-a85e-4af2-bcd3-c5daf1abd66d","3","Corporation","Zone 2-  North","20MC0115W","Madurai (M Corp.) WARD NO.-0015","System","2022-10-15 10:04:26.501845+00","","2022-10-15 10:04:26.501845+00"
"68a49da3-ec0c-43e6-ac4d-9a6be6657f70","3","Corporation","Zone 3- Central","20MC0152W","Madurai (M Corp.) WARD NO.-0052","System","2022-10-15 10:04:26.501845+00","","2022-10-15 10:04:26.501845+00"
"68d4feef-60ad-4323-9d4a-684f2af8cfb3","3","Corporation","Zone 4- South","20MC0129W","Madurai (M Corp.) WARD NO.-0029","System","2022-10-15 10:04:26.501845+00","","2022-10-15 10:04:26.501845+00"
"68d9b1ec-828b-41b2-a44c-77fa243945fb","1","Town Panchayat","Vadipatti (TP)","20TP0914W","Vadipatti (TP) WARD NO.-0014","System","2022-10-15 10:04:26.498924+00","","2022-10-15 10:04:26.498924+00"
"69533c5d-c4ba-4eb8-ae10-216a0b975818","2","Municipality","Usilampatti (M)","20MU0317W","Usilampatti (M) WARD NO.-0017","System","2022-10-15 10:04:26.501845+00","","2022-10-15 10:04:26.501845+00"
"6bcab0fc-e142-4f92-aed3-c8c745315b62","1","Town Panchayat","A.Vellalapatti (TP)","20TP0104W","A.Vellalapatti (TP) WARD NO.-0004","System","2022-10-15 10:04:26.49793+00","","2022-10-15 10:04:26.49793+00"
"6be42c44-dc7c-4ac7-b9d0-7d66d7f57f6b","1","Town Panchayat","Harveypatti (TP)","20CT0313W","Harveypatti (TP) WARD NO.-0013","System","2022-10-15 10:04:26.499928+00","","2022-10-15 10:04:26.499928+00"
